reviews,labels
"do not buy!: this was my first experiance with an electric pump, and was awful! the motor was very weak and it did not provide the proper suction. i called the company and told them of my complaints, they sent me a new motor and new washer rings (the rings in case the suction was being broken) however neither helped. this pump was loud, and painful and did not allow me to pump enough milk. the suction release is manualy operated but the motor could not keep up with the number up times i would need to relase per minute to simulate my baby's sucking, witch made let down even harder! i do not suggest to anyone to buy this product.",negative
"edge 000 - good for day trips, but not for tours: the edge 000 has all of the bells and whistles that you would want in a bicycle computer. each of the functions is relatively easy to use, providing great infomation concerning speed, cadence, heart rate, elevation, ascent, grade, etc. the only draw back is that the battery does not last more than a few hours. this is a negative if you are out on a tour. two weeks ago i did grabraawr in wisconsin. this seven day ride covering 000 miles was great, but every night i needed to find an outlet so that i could recharge the battery. this is the only fault that i can find in the edge 000.",positive
"beware. this book has almost killed me: sturve bacteria to death. and where, in bowels (!?) what an increadible idea ! by using this diet you practically illiminate any iron containing food from your menu. so if you have digestive deasese and most likely, already having difficulties absorbing vitamin b complex and iron - you are on the way to killing yourself. after being on scd for 0 months and becoming progressively weak and pale, i've had a routine blood test done, which came up with hematocrite of 00 (!) at that point my physycian was insisting on blood transfusion, but i was lucky to get out of the situation with just iron pills.",negative
i never got it: hi i never got the baby pool and i didnt know who to call to let you know i didnt get it i would like if i can get that pool some time soon seen as i paid for it if you have any questions to ask me call me at 000 000 0000 i would really like that alot thank you so muchchristina jones,negative
"not universal: the description of ""universal fit"" is misleading. it was much too big for my hyundai accent. plus hard to install. better off to buy entire shaft assembly.",negative
"good book.... although not without flaws...: as non-biased reader (no scottish roots or ties), i found this a good book. its coverage of the scottish enlightenment is excellent - and this is the best part of the book. he covers both the individuals and their theories very well and its highly readable. however, after he moves on from the enlightenment, it becomes quite tenuous. claiming the scots were responsible for the british empire, america and canada is a little bit of a stretch? also, this book can be a bit of a heavy read at times.",positive
"absolutely essential viewing: so if you're a bit like me, you look forward to new year's eve and july 0th...not just for all the fun and festivities (and fireworks on july 0th) but also for the twilight zone marathon on scify. every year i always catch and episode or two that i've never seen before, and catch a few i know by heart, enjoying every second of it.so during the winter months this year i decided to splurge and buy the entire series box set, every episode in original air date order. this is the ultimate twilight zone package for any fan. plus bonuses too many to list, complete with a booklet which gives a quick synopsis of every episode. simply put, you can't do better than this. all struck from the original camera negative and magnetic soundtrack it says right here on the box, and it definitely looks that way on my tv screen.so do yourself a favor, if you're an old fan or new, grab this set and beat those cold winter night blues, you will love it!t",positive
love these!: i love these dick and jane books! my son got so much better at reading going through these. i don't know why they ever stopped making books like this.,positive
poignant documentary: this is a poignant documentary of life among the remaining jews in the carpathians. it has outstanding traditional jewish and gypsy music and is interesting for showing the connections between the two communities.,positive
"this movie doesn't deserve any more than 0 star!: i'm sorry to ruin this movie's perfect reputation here on <url>, but this movie doesn't deserve any more than i gave it. sorry.",negative
sierra club 0000 wilderness calendar: i love our country and i was not disappointed when i opened my sierra club wall calender. the pictures are wonderful. i could not have chosen any better locations myself. the quality of the prints are superb enough to frame.,positive
"how someone attitudes could change feelings!by:brenda amador: stargirl (susan caraway real name) after being most of her life in homeschooling going to a public school was weird for her. once she got to mica area high she had every pair of eyes on her, used to wear long, pioneer-style dresses, played a ukulele in the halls and in lunch room, and carried her pet rat cinnamon with her.she made people happy with most of her things after a while. leo borlock follows the unspoken rule at mica area high :don't stand out rule. but when stargirl gets to him everything changes and leo falls in love with her.this book is absolutely amazing this was one of my favorite books its a book that once you open you can't close.",positive
"there is great wisdom here: a perfect balance of lao tzu and confucious.however there is a more elegant and poetic english translation under a different title is translated by thomas cleary:""back to beginnings"" (on shamabala publictions) though cleary did selectively leave out some of the numbered meditations (and their numerical references).note:hong yingming's taoist mane is huanchu daoren.get both books and understand the extent of the translator's art.if you read chinese don't get back to beginnings get this version because it has english and chinese side by side.one can learn from any version, this book is special.",positive
"disgusting!: salty, too hard to bite, and tastes like chewing on a salt lick. with so much sodium, this is totally a terrible choice. do not buy!",negative
"the big top in full effect: the men at large classic big men contuied to please radio listeners around the world as a veteran radio on airradio personality for 00 yearsi contuied to give the big guys radio airplay due there talent and my friend thelate great gerald levert i gave them there first airplay here in oklahoma city like i gave gerald levert hisfirst airplay if you want to dig a littl deeper i even gave the o'jays some of their first airplay with theclassic' i,ll be sweeter on tomorrow than i was yesterday.the big guy are still standing tall and stilled getting heavy radio play. a great sensation buy dont let this classic cd get away from you.vernon campbellktlr am 000 /ktlr 00.0 fmoklahoma city oklahoma",positive
"buy demons & wizards instead: having only been familiar with demons & wizards (the side-project of iced earth's jon schaffer and blind guardian's hansi kursch - a project which i absolutely love) i figured it was high time to check out schaffer's prime band. i could not have been more disappointed. if the blessed and the damned is iced earth's ""best of"", i will definately not be wasting my time checking out their other cds. this may sound harsh, but i had high expectations after listening to demons & wizards. schaffer, hook back up with hansi and make a third d&w cd. please!",negative
very slow and much too long: a few friends recommended this book and i had read many good reviews so i was looking forward to it. i did not like it and had to push myself to finish. a very slow start and the pace never picked up.,negative
"love: bought for our grandson he loves them, plays with them every time he comes over to vist papa and granma",positive
"wickedly amazing. fantastic game: the freedom to move anywhere on the huge, fanstastically detailed mountains make the game worth buying. the tricks, soundtrack and snow effects are gravy. i really wish it supported simultaneous multiplayer ( especially across xbox's ) but its still good.",positive
"they still got it!: hey, i just got the cd... the boys still got it! this new one is so great. it such a great new sound. it's like a new style of music meets the guys from the 00s. i love it! they've really matured! oh, and i reccomend that ya'll get the duel disk if you can. it's only like a dollar more and it's got some great stuff on the dvd. hey, for all ya'll goin to a concert, scream loud for me and all us here in nc, cause they're not comin back down here. :( oh well, i love em anyway! 0 years hasn't changed my opinion at all.",positive
"too focused on pronunciation and learning without a book: after these lessons, i can recognize the phrases ""do you understand..."", ""do you speak..."", and ""do you know..."" instantly. and i can answer them without thinking about my response. but that's all i've really learned, and one of the most intimidating features of russian is the alphabet.the pronunciation is easy to follow, and the repetitiveness will ensure that these phrases are etched into your memory forever. however, on the whole, it's not a great introduction or overview of the language itself.",negative
"not the best: takes a bit of doing to get results, not sure why, maybe the blades. had one before that worked great until it was dropped.",negative
"lame: from the box, this looks like a good horror movie, but it's not. it's slow, and there are no really scary scenes. it's creepy, but nothing at all like the blair witch project.if you're looking for a good newer horror movie, don't waste your money on this movie. get house of wax or hostel instead.",negative
"powerful: what a powerful group when they came on the scene!! ""more than a feeling"" boosted them into worldwide following. ""peace of mind"" and ""don't look back"" are great tunes on this album!",positive
"very disappointing: considering all the information and documentaries out on the subject of frank lucas and his harlem heydays, this one is extremely disappointing. amateur and uninformative, this one was a stinker.",negative
"huh?: word of mouth and all the 0-star reviews of this book had me very excited to read this series but... it just wasn't that funny. nowhere close to pratchett or adams, who i find hysterical. the ending was quite depressing. i kept waiting for it to improve (or get funny) on the next page, and it did when i finally finished...",negative
baaaad: i haven't received my products anymore! gonna get the responsable people and sue them!!!! i wrote to amazon but haven't hear anything from them!!!,negative
"read it if you must: good story, terrible writing.anderson's prose is trite, unimaginative, and, far too often, simply laughable. which is a shame because the story is compelling.this is a key part of the star wars extended universe, however. so, read it if you must. but you've been warned.",negative
best deal for the price!: the gleim cpa audio cd's are the best deal for the price you pay. i just passed the far section of the cpa exam and all i did was listen to the cd's on my way to work in the morning. i didn't use any other study materials. i highly recommend this product.,positive
"great, but missing things.: i thought this movie was wonderful. it was suspenseful and kept you in your seat. the acting was better than the last movie, as some of the lines were kind of cheesy. the only thing is, they left out 0 major events! chloe and buck's wedding, amanda and rayford's wedding, (actually, they never even introduced her!), and most importantly, someones death. but i won't mention whose, for the sake of those who haven't seen the movie, or read the book. i did like this movie. i really did. i just have to wonder why they left these parts out.",positive
"dissapointed: wow. what a dissapointment! i am surprised to see so many positive comments on the album, but glad to see that a few know what i am talking about. i have both of fiona apple's prior albums and found that this one cannot compare. maybe she should have stuck with jon brion? maybe there was a reason her record label didn't want to release it?i bought this album based on the title track which i loved when i heard it on the radio, as i felt that this track showed some growth, musically and personally. but the rest of the album seems to lack in melody, direction and substance. even her lyrics don't seem as profound as before, but that could possibly be because i grew up too.i would not recommend this album.",negative
"a very good solo raider entry: ""death's deal"" is a fine entry in the solo raider western novel series. this series of books focused on the character of raider, working alone for the pinkertons after doc weatherbee leaves the agency.most of the plot is taken up with a grueling cattle drive, which brings out the courage and cowardice, good and evil of everybody involved. the major villain is more of a contemporary sociopath than the standard western bad guy.the solo raider books just don't have the quality of the earlier hardin series, but this one is excellent.highly recommended.",positive
sex & the city meets martha stewart!: this book was a cute short read with some really yummy recipes (the brisket and the chicken were delicious!) and humerous and insightful stories to accompany them. definately worth a read!,positive
"eli roth is a hack: clever spoof? scary movie was a clever spoof. this piece of garbage is poorly scripted, poorly acted, etc....etc..... after seeing it i wanted to open my skull and scoop out any memory of it. do yourself a favor, if you are thinking about buying this mess please don't reproduce. the world has enough stupid people. and by the way amazon, how about adding a negative stars option to the rating system. it felt dirty having to give this crap even one star.",negative
"this band is complete garbage: i bought this album mistakenly when i was wondering about a song that was featured in the movie ""high fidelity"" and someboy told me it was ""peppyrock"" by this band btk, turns out it was not the song and i hoped that maybe the cd would be good anyway but turned out to be complete and utter garbage. do not buy this cd they are a rip off of the chemical brothers. nothing drives me crazier than when soneone tries to mix both rap and rock.",negative
awesome sweeper for pet hair!: i absolutely love this sweeper. i keep it charged all the time and use whenever there is anything to pick up. it actually picks up pet hair better than my vacuum cleaners.,positive
"indispensible: as a person of partly greek ancestry, and protestant upbringing, when i contemplated conversion to roman catholicism, i asked the priest why i should not become orthoodox. he smiled and said that would be going in the right direction but why not come all the way home. he gave me this book. indeed i became a roman catholic.i count as kin and the best of friends and brothers in christ many orthodox. i am thankful and do believe that i understand them and their religion better than ever for reading this book. though it condemns certain errors, soloviev speaks with a true voice of love for the orthodox.this personal note is all i can add to the excellent reviews that have gone before mine. i do recommend this book especially to orthodox christians who are so very important to the future of all christendom.",positive
how to waste (dollar amount): as an avid fan of patricia cornwell i think this book was garbage. what were you thinking? i purchased this book for vacation reading and should have thrown it away when the trout and crabs started their conversation. hoping it would improve i continued reading. what a disappointment! i'm sorry i wasted my time and money.,negative
the best cookbook on god's green earth: my sisters and i grew up with this cookbook. it is the most-borrowed book i own. i would pay major bucks to have it in hardback. you will never need another cookbook.,positive
"a let down: i was very excited to watch this movie. sadly, i wish that i could get the hour and a half of my time back. a total let down",negative
interview with the vampire dvd: the original twilight movie except without all the teenage drama. if you're a fan of vampire movies this is a must for collection.,positive
wonderful book full of great information: a wonderful book for the costume jewelry enthusiast. great pictures and fantastic writing. it gave me a great insight on the quality and craftsmanship of unsigned pieces of costume jewelry. i would highly recommend this book to anyone interested in collecting costume jewelry,positive
"easy read on a complex subject: this book covers great spans of time and geography and illuminates little discussed, but important and interesting, stretches of history. i found it an easy read, despite the complexity and many characters.the only downside is that more detailed maps, and perhaps a timeline, would have been useful.",positive
destined to witness: i could not even finish this book. it was written with such arrogance and puffing!i found the author to be quite contrive about the true nature of the holocust and more intent on his personal injustice.he was lucky that he was young and had friends in germany. his father being a king of some sort is put high onhis list of achievements although the treatment of the women involved with himself and his father would not be so prized.i am going to put this one down and go on to something more worth my minds time. ~,negative
"nostalgic and heartwarming: my father grew up in the north end of boston, and it brought back lots of fond memories of mygrandmother and the great meals we had at her home with lots of family and friendsgathered around. the recipes are great, although i would have loved more photos!",positive
"really not that great...: i bought this book in october - it is now february and i have yet to make anything out of this cookbook. i love vegetarian cookbooks and was looking for something quick and easy, but nothing in this book sounded that appetizing or that filling to me (i am not a picky eater by the way). i'm sure there are other vegetarian cookbooks out there that are way better. skip this one.",negative
"spoiler: for me, this was a suspense novel, not a whodunit.this is how i saw it: while mike is trying desperately to get a hold of her life and find a reason to keep on going, a flawless beauty commits suicide out of sheer boredom with her perfect life. then memories of the girl start to creep back into mike's consciousness; she was contemptuous of mike and all things imperfect. faced with this, mike makes a decision about her own fate, leaving this reader furious with the dead girl. so who murdered whom?",positive
"0000 code scanner: the reason i bought the scanner was so that i could read the codes on my 00 olds but when it i got it, found out that it does not work on the 00 models. over all i love have it. it works fine on all the other vehicles that i have. would love to know if there is another hook-up that i can use with it to be able to read the codes on the 00 olds. it is a great investment for the do it your self person",positive
"is there a half star option: great firelighter.i picked up this book at the same time as i picked up the forgotten soldier by guy sajer, thinking that both were non-fiction accounts. boy was i wrong.what i don't understand is what possessed the author into thinking he had a novel in him? someone deluded him horribly. the book is at times unreadable for any number of reasons. it is unbelievable nonsense, terribly written and edited, and historically inaccurate to the point of being laugh out loud stupid. which is what i must have been for purchasing it without spotting that bulge of one star reviews.the book is very well reviewed by the authors friends and family and some people who owe him money and that is all.",negative
"great new band - rossdale still has it!!!: i was a huge fan of bush and now am a fan of institute. it does sound similar to bush, but probably because gavin rossdale writes all the lyrics and sings all the lead vocals. it has a harder edge than bush did, but overall i'm glad its similar.i was sad to see bush break up and am now glad to have another oppotunity to enjoy gavin's incredible voice and interesting lyric style.if you liked bush, you should enjoy this album.",positive
"an underrated guilty pleasure: although critically slashed upon its release it's actually a broad, very entertaining comedy with many funny sequences and performances. tom hanks and bruce willis are strangely miscast but are by no means bad. de palma's direction is as stylish as ever and the cinematography is quite beautiful. worth seeing for the eye-popping camerawork in opening five minutes alone. had this been an original adaption the critical concensus would have been far better.the dvd offers a nice anamorphic widescreen transfer and no other extras but for the low price it's great.",positive
"horrible: this is one of the worst surf movies ever! i mean all of the footage comes from other surf movies that are much much better, and it does not go into enough depth about the strapped crew. it says that laird hamilton and dave kalama are the onlt two apart of the crew, but there are about 00 more surfers in the actual crew. i have to say that also the guy who made this film did not do it very well. i mean you would expect bruce browns's son to make a better surf movie than this. (bruce brown made one of the best surf films of all time ""the endless summer"" series. sorry but the person who made this film should know more about surfing before they make a film on it.",negative
"victorinox vs leatherman: i have been a long time user of many tools from both companies and appreciate both of them equally. i mainly purchased this tool because i had not had a leatherman in a long time.another reason for going with this tool is i needed something i could carry in my pocket clipped. my victorinox swisstool spirit doesn't have a clip on it and i'm not one to carry a pouch on my belt just to carry my tool. i have to dress professional at work and having a tool clipped inside my pocket is a little more subtle in my opinion.it has a different feel than my swiss but i can already see how amazing it will be. the swiss is beautiful, well layed out, smooth, and shiny where the leatherman charge tti just looks mean. the blades on the leatherman are wicked and the best they offer. tools are a bit more out of the way but i love the one hand operation blades that i don't get on anything victorinox that i have.",positive
"do not buy - avoid these people: these people are not to be dealt with.they are liars:the write up says, ""set includes a 00"" square table and four comfortable, high-back chairs"". when you order this, it will not arrive with chairs, and the company will offer no apology.they supply damaged materials:we ordered 0 tables. one was quite smashed.they have terrible customer service:so far it is 0 months after i have sent back the table, and still i have not received my credit.",negative
"great winter ""beach read"": fun read, endearing (although unrealistic) characters, interesting plot twists. a great winter beach read!",positive
"undiluted truth, a molotov cocktail -: this book is like a bible for dissidents. i've felt mentally and morally sick working in higher education for close to ten years now and just thought i was crazy. gatto confirms that it is the system itself which is sick and that the people who run it and benefit are not honest and honorable people and one could fairly label them pathological, i'll even label them as pedophiles for raping the minds, spirits and souls of students. it's rare to see a man speak so truthfully and forcefully and passionately about what is missing today; honor, principle, character, creativity, imagination, independence, and dissent. i'm amazed this man hasn't been assassinated for exposing this dirty game. this book goes way beyond the narrow scope of education, he taps into a world view and value system which is heartening for me, he helps me understand why and how the world is so screwed up. this man should run for president in my opinion",positive
my dog loves: i have a 00 lb terrier mix rescue. i got this 0 year ago and still in one piece. it is hard plastic so if you have ceramic or hardwood floors it is loud. it does take time for the dog to learn how to get food out. it took my dog an hour or so. i would highly recommend. but always supervise dogs with toys especially when it is new.,positive
"the decline and fall of the barnes collection: this is a detailed description of the folly of mr. barnes, thinking he could micromanage his multi-billion art collection from beyond the grave. the collection now is in good hands. 'the art of the steal' it is not.",positive
"deliver us from untalented, egomaniacal sean...: sorry to be rough on you sean, but, after reading ""deliver us from evil: defeating terrorism, despotism, and liberalism,"" i have to ask - who told you that you could write? that person is not your friend. as with your radio show, the book is filled with empty anecdotes, circular logic and outright lies. and, despite its obvious shortcomings, i stuck it out and read it from cover to cover, hoping for a payout so at least the four hours of my life weren't wasted. that payout never came. well, at least i can get 00% of the cost back when i sell it used on <url>. so i'm out, what, 0 hours and 0 bucks? oh well, it could be worse - i could've read your other book, too...",negative
this is not the correct filter for presto cooldaddy deep fryer. here is a link to get the correct filters: [...]: this wave-shaped filter is not the correct filter for presto cooldaddy deep fryer. the proper filter is a rectangle in shape. here is info to get the correct filters: you can purchase them through presto's website at: [...]or contact presto customer service at 0-000-000-0000.,negative
pure nonsense: you only need to read the jacket copy to know that this book is nothing but a tired rehash of failed creationist arguments. reading the book doesn't do anything to change this perception. read richard dawkins instead.,negative
not what i wanted: these sweatpants were thinner than i expected and they also did not fit well around my waist. they have the one looped cord in the elastic and i find that those don't work as well as one cord split that you can tie.,negative
"did not work for us: i have purchased gripe water, and other products for our baby and her colic issues and i never saw any improvements with that so i figure i would give this a shot. no noticeable difference at all with these colic tabs. normally i love hylands products, but these did not work for us at all.",negative
"waste of $00: look carefully at the details on this book before you buy. it's tiny. i mean, really tiny. think ""little golden books"" tiny. don't waste your money on this - even as a new father gift. it's worth $0 at most. the text itself is mildly amusing, brief, and mostly accurate.",negative
nikon tc-e00ed: you'd better have tripod ready when purchased this telescope. it's powerful zoom factor 000 mm(equal 00 mm camera). in order to get a good picture from this telescope you must learn how to control exposure and speed shot. it's an excellent tool for nikon coolpix 0000.,positive
"opening chapter to what may be the best epic ever.: the only reason i don't give this book four stars is that it takes about 000 pages to get into, quite a bit for a 000-odd page book, until you consider that it is really a ~0000 page epic divided into 00 chapters. this epic is life, neatly set out in black type, and anyone with a life today will appriciate how similar it is to life 000 years ago. a note of caution, though: if you get through those first hundred pages, you may not be able to put these works down until you've read all twenty volumes.",positive
"heavy hearted reader: as a great fan of patricia cornwell, i anxiously await each of her new books, and so it is with a heavy heart that i write this review. this is a horribly written book filled with a cast of unbelievable, bumbling idiots. there is not one intelligent character in this book - nor is there any redeeming feature about this book.what a disappointment. as a reader, i feel angry and insulted that ms. cornwell thought this book would be enjoyable to anyone. what a tremendous waste of time: hers as an author, yours as a reader.message to ms. cornwell: give your readers some credit for having some intelligence.question for ms. cornwell: why in the world would you write a book like this and then actually allow it to be published?message to patricia cornwell fans: don't buy this book - it's a waste of your money and a waste of your time.i gave this book one star only because that is the lowest number allowed. if given the choice, i would rate it a zero.",negative
"the story of the year: this just not any story to do with chickens, it is the story where it disribes the true life of chicken (if the could think and talk). the carecters are so funny the way they talk walk look. i would really recomend this for anybody. if you are depresed for any reson o your are happy watch this movie it is one of the best short movies this year. the only thing wrong about it is that it isn't wallace and gromit but any way it is still a good movie.",positive
this is a great fan: a great value. set-up outside on a back porch to provide a cool breeze in the summertime and it works great.,positive
"nick, where has your charm gone???: i am a sucker for good romantic stories - however, a walk to remember is a disappointing third book by sparks. the characters are shallow and the story is so predictable (if you have read the first two sparks' novels). the lines are repeated time and time again to bring out the readers' emotions and none of the sentiments touched me deeply ... i'm sorry to say that the book was written to popularize tissue papers. sparks tried to please the readers too much that he lost the charm that he had so deeply in ""the notebook"". please nicholas, bring back your charm from ""the notebook"" and stop trying to please the readers ... the notebook is the best of his novels so far.",negative
"slow start -- good middle -- lousy ending: this book was a major disappointment. the author seems todrone on and on about ordinary happenings without providing any pointor revelance to the overall story line. i plodded through the last 000 or so pages hoping for an ending that would tie everything together or at least be a happy one for trudi. instead, the book just sort of petered out. i was very disappointed and felt like reading this book was a huge waste of my time. i guess i just didn't get it.",negative
my first golf book: the binding on the book was broken - pages could easily be pulled from the hard cover. a child's name was written on the back inside cover. i would not characterize this book as being in good shape. very disappointing.,negative
"read the reviews before you buy: as the previous reviews pointed out, most of these are not the original recordings and definitely not worth the money. i would give it 0 stars if i could.",negative
"maybe a little too informative.: good for details, much of which i'll never use. many shortcuts i'll probably never remember, and programs i'll never use. however easy to understand and get a feel for the various programs. nice useful product, more informative than i needed or expected.",positive
"i resent what this implies!: wait just a chicken flickin' minute! what is amazon trying to say about me that this shows up in my gold box with the claim that it's been selected ""just for me?"" it doesn't take a detective to figure out what they're seeming to imply, here.sure, there's probably a good doctoral thesis for someone in many of my issues, but i don't need a big doorstop of a book to self-diagnose actual disorders. well, more of them, anyway.",negative
"highly recommended: this recording of the fabulous grand concertos by corelli is one of the best recordings that i own. these concertos should not be taken for granted; they set a precedent for the concerti grossi by handel, geminiani, and many others.i musici employs their impeccable technique, tone, articulation, and dynamics in this recordings. philips held up their part of the deal; the sound quality on the recording is unbelievable. no other recording that i own is as crisp and clean as this recording is. a must buy for fans of baroque music.",positive
"terrible crayons-don't understand other reviews!: i bought these crayons for my daughter based off of the very good reviews they received from other people. i honestly can't even begin to understand why people say such good things about crayons. they are not durable...maybe they are more durable then the thinnest crayola crayon but certainly not the jumbo crayons. the color is so light and barely there, it's not fun for young children. the crayons feel weird and are not at all like the color of the actual crayon when the color is on paper. these are the worst crayons i think we've ever used and that includes cheap crayons you get at a restaurant for kids to color with. i usually love melissa and doug but i am highly disappointed with these crayons.",negative
"i was disappointed: when i purchased this book i couldn't wait to get it in the mail. i was so excited about learning about how to ""eat"" for womb health but what i came across was a lot of reference to some healthy womb god idol? i don't know, i was very put off by the constant references to this idol god, and womb circle chants that she suggest we do? i thought i would be able to take from it what i could use, and discard everything else but the references were too frequent, and it put a really bad taste in my mouth, i felt i was being exposed to things that were very oddly relgious, (non-christian) and i am not interested in that. i purchased the book in hopes that i'd learn to eat a certain way for an overall healthy womb, but got a lot of other weird stuff, that made me uneasy, i couldn't finish the book.",negative
"lovely book!: i am a big tudor fan & love the artwork in this lovely book! i've also tried two of the recipes, so far, & thought they were terrific!",positive
it's a keeper: i would recommend this game to anyone... but i have to say that there's a couple of disappointments i've run into in comparison to previous fifa soccer versions.. in fifa 0000 i learned that there isn't a create-a-player mode in the game which i find disappointing another is gameplay might be too hard for beginners although i'm trying not to be negative this is an awesome game certaintly one of ea sports best. just those two things disappoint me for some reason but i won't be returning it i'll defenitly enjoy this awesome title !,positive
"chopstir: if it were made of silicone, it wouldn't get melted and ruined on the tips. i like how it works, though. :)",positive
"a combination of sexy and smooth to the ears grooves: i was debating if i should buy this compilation for the fear of being let down, but i did. i definitely don't regret it. usually i skip to songs that i enjoy, but driving long distances i noticed that i didn't skip any songs. very satisfied with my purchased. some of my favorite tracks include tracks 0.don't look back - dual sessions and 0.insane[beach love mix]",positive
"great starting off point for new bank board members: benton gup gives a very thorough overview of the role of a bank board member and the importance of understanding the major elements that make up a modern financial institution.it is important to note that this is a starter book; if you are currently a bank board member, or contemplating becoming one, you should understand that this book will spur you to further study on major subjects in other books and formats.",positive
"dont buy it!: dont buy it! i used it for 0 weeks and it worked just fine -- was able to get 0 oz within 0 minutes, then all of the sudden, it stopped working. it would still pull at my nipple but nothing would come out -- i would constantly have to readjust the sheild to get more. i called customer service and they said that it was a lactation issue but with another pump i have no problems. dont get it! buy a hands-free one so that you can walk around the house - you dont want to be tied down to the machine.",negative
noisy zurich automatic watch winder: the zurich time single automatic watch winder keeps my watch wound but its motor is very noisy. i cannot keep it in my bedroom or it keeps me awake. this is not a quiet winder!,negative
"00 years of trouble-free use: i have had a set of these novi 0-channel wireless intercoms for over 00 years. mine are set up on different wiring circuits in my current home, and they work just fine. i'm not sure why other people are having trouble with them not working on different wiring circuits. one caution: i used to live in a condo, and, apparently, one of the neighbors received a set as a christmas present, because we began to hear their conversations the day after christmas. we just switched channels, no more problems.",positive
dont waste time: what started out as a page turner ended up just being boring. dont be fooled there is no way this book should be rated 0 stars,negative
"classicly lovely and great for baby's vision: not only is this a simple, timeless, unisex looking mobile, but it is also great for the development of a baby's vision. whereas some mobiles function moreso to match decor, other mobiles are educational attachments to the crib. keep in mind that pastel colors are not appreciated by infants for months. the panda bear was the first animal seen by my infant b/c of the black and white. the primary colors of blue jean teddy then become noticed. the green gingham pattern on the dog and the softer hued duck were spotted after further development. my baby is now a sitter and she still likes to look at the panda the most. the only con of this mobile is the wind-up music box. i would have preferred a battery-operated one so that it can play as long as i and my baby wanted. but the reasonable price of this mobile as well as the cute look of it made it a great buy. educational baby products don't have to look weird!",positive
"satisfied: the roadmate gets the job done. it isn't the sleekest or smallest gps but it will get you from a to b, at a very affordable price. the only issue i have faced with the roadmate so far, is the cost of map updates (around $00.00), but i haven't needed it yet.",positive
fantastic album... i want more!!!: this is a great album i was recently introduced to. after doing a bit of searching i found that baxter has put out several albums since this one in 0000. anyone know where one might buy these other albums? id appreciate any help. thanks,positive
"a great read following the lines of the da vinci code!: this novel was absolutely amazing. it follows in the lines of dan brown's novel, but has a different twist so it makes the two novels different. shoeles is an amazing storyteller with a flair for twists that will keep the reader guessing until the very end of the novel! i highly recommend this novel for anyone who loved the da vinci code and angels and demons!",positive
"i was disappointed in this sequel.: even though i enjoyed this book, i found that it lacked continuity with robert o'brien's original book, ""mrs. frisby and the rats of nimh."" the book was an easier read, but it doesn't have the detail that the first book had. i read both aloud to my students. my students all said they liked the original book better.",negative
"spellbinding but deceptive: perhaps i have become desensitized, but i found the novel to be misleading; cook spends a great deal of time foreshadowing a tragic, haunting event that ends up seeming anticlimactic; i expected something far more sinister. the preview outshines the work itself. i did enjoy reading it, however; cook's style is soft, understated, and utterly mesmerizing, perfect for late night reading. his style flows and drifts into the subconscious; it's alluring prose, even if it leads to a less than riveting conclusion.",positive
"communist blockheads.: mr. brzezinski feels that america must be replaced as a global village. how i and 000 million other people disagree must be beyond his puny immagination. a one-world governemnt is easier to conquer and force socialism by making the global community ""hell on earth"" where only a few thousands engineers run a billion slaves. zbiginiew, the trilateral commission founder and member and long time anti-american elitest and cfr member i have one question. how did a clown like you ever land a job as professor of john hopkins university?",negative
love it: this feeder is made of heavy duty materials that last- i was happy to find one to add to one i had for 0+ years.i like that you can take the bowls out and wash them. for me sometimes my cats want to eat alone and i can just take them apart for seperate feeding.,positive
"brutal, brutally inadequate contemptible work of garbage: its like the fan boys who talked in superlatives about planet terror, and the fan base of sci-fi lemmings on amazon who salivate at edgy, whino-college gutter films like, the ever hyped, and truly disappointing cloverfield.kill bill is just a jackie chan film going artsy. it's just art-house on meth; its ludicrous, which is probably what it is supposed to be from jump street, but i have had enough of scream acerebral thinking. i am sure it is boat loads of fun working with quentin. there obviously is a reason movies like this are made. five stars indeed. i'd rather watch reruns of ghandi and a marathon on amc of awful clint eastwood films like unforgiven, then to ever, ever sit through a quentin film again.if this is the kind of raw new talent coming from hollywood in that era, i certainly have a chance to bring my ideas to fruition.",negative
"so bad i shipped it back: the music all by itself is all right, but it's ruined by serrano's lyrics, which are at best, self-absorbed and adolescent, and at worst, just plain sick. perhaps there are people who don't mind songs about everything from suicide thoughts to pedophilic desires, but as for me, count me out! i removed the cd from the player after the pedophilia song and returned it to amazon in disgust without even listening to the rest of the cd. i was so grossed out, i don't even care whether or not i get my money back, i just wanted that thing out of my house! yuck!",negative
"brian wilson-""i just wasn't made for these times"": a stunning yet disturbing portait of a true musical genius. paul and john had eachother, brian had only himself, with little group participation other than critisism. this powerful documentary proves, through all his struggles, his music will last forever.",positive
"couple of strange reviews below: i don't think mtv came within fifty miles of this band. a couple of the reviews below make me wonder if somebody's working out a personal grudge...anyway, toreador is a solid, uptempo, melodic indie rock album by one of the many creative northwest bands to find themselves trapped at the tail end of the ""grunge"" era. songs like ""comet"" and ""shiva"" are fun, frenetic numbers with a sardonic undertone. one of the best albums of all time? no, of course not. but a good reminder that the pacific northwest in the 0000s spawned a lot of quality bands that shouldn't be folded into some one-dimensional ""grunge scene."" buy it, put it on when you want to feel energized and sing along a little.",positive
"a noteworthy success.: a clever, original, and satisfying manipulation of science-fictiontopoi, mark wakely's an audience for einstein is a realachievement.",positive
